     ,FARECARD USAGE BY STATION FOR DATE RANGE: ,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                          
     ,03/14/2020-03/20/2020,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                               
REMOTE, STATION,FF,SEN/DIS, 7-D AFAS UNL,30-D AFAS/RMF UNL,JOINT RR TKT,7-D UNL,30-D UNL,7D-XBUS PASS,TCMC,RF 2 TRIP,RR UNL NO TRADE,TCMC ANNUAL MC,MR EZPAY EXP,MR EZPAY UNL,PATH 2-T,AIRTRAIN FF,AIRTRAIN 30-D,AIRTRAIN 10-T,AIRTRAIN MTHLY,STUDENTS,NICE 2-T,CUNY-120,CUNY-60,FF VALUE,FF 7-DAY,FF 30-DAY,                                                                     
R001,WHITEHALL STREET              ,00012463,00000849,00000246,00000643,00000015,00010415,00009268,00000113,00000109,00000283,00000051,00000919,00000260,00000207,00000000,00000373,00000000,00000000,00000000,00000304,00000000,00000141,00000000,00000251,00000278,00000249,                                                                                                    
R003,CYPRESS HILLS                 ,00001623,00000112,00000004,00000028,00000000,00001540,00000727,00000002,00000005,00000055,00000004,00000046,00000011,00000011,00000000,00000008,00000000,00000000,00000000,00000148,00000000,00000022,00000000,00000053,00000069,00000043,                                                                                                    
R004,75TH STREET & ELDERTS LANE    ,00004313,00000232,00000018,00000088,00000001,00003303,00001893,00000001,00000008,00000125,00000001,00000194,00000023,00000030,00000000,00000058,00000000,00000000,00000000,00000443,00000000,00000053,00000000,00000130,00000110,00000095,                                                                                                    
R005,85TH STREET & FOREST PKWAY    ,00004746,00000269,00000066,00000123,00000000,00003467,00002277,00000000,00000005,00000160,00000000,00000140,00000020,00000032,00000000,00000029,00000000,00000000,00000000,00000311,00000000,00000072,00000000,00000128,00000073,00000104,                                                                                                    
R006,WOODHAVEN BOULEVARD           ,00004188,00000299,00000065,00000108,00000002,00004769,00002636,00000009,00000020,00000124,00000003,00000153,00000046,00000035,00000000,00000033,00000000,00000000,00000000,00000430,00000000,00000077,00000000,00000098,00000094,00000070,                                                                                                    
R007,104TH STREET                  ,00003064,00000197,00000013,00000050,00000000,00002500,00001511,00000001,00000003,00000105,00000000,00000078,00000025,00000015,00000000,00000025,00000000,00000000,00000000,00000222,00000000,00000043,00000000,00000064,00000042,00000041,                                                                                                    
R008,111TH STREET                  ,00002703,00000113,00000031,00000049,00000004,00001871,00000976,00000004,00000008,00000051,00000000,00000061,00000016,00000024,00000000,00000011,00000000,00000000,00000000,00000189,00000000,00000032,00000000,00000048,00000033,00000040,                                                                                                    
R009,121ST STREET                  ,00002413,00000167,00000033,00000081,00000000,00002240,00001291,00000003,00000016,00000051,00000000,00000080,00000017,00000020,00000000,00000020,00000000,00000000,00000000,00000180,00000000,00000032,00000000,00000054,00000032,00000034,                                                                                                    
R010,42ND STREET & 8TH AVENUE      ,00015886,00001067,00000191,00000416,00000013,00011077,00009173,00000163,00000101,00000324,00000025,00001034,00000242,00000276,00000000,00000478,00000000,00000000,00000000,00000626,00000000,00000169,00000000,00000338,00000268,00000283,                                                                                                    
R011,42ND STREET & 8TH AVENUE      ,00063600,00003177,00000332,00000838,00000030,00017024,00019461,00000081,00000387,00001836,00000007,00001616,00001110,00000589,00000000,00000789,00000001,00000000,00000000,00000752,00000000,00000234,00000000,00000577,00000355,00000409,                                                                                                    
R012,34TH STREET & 8TH AVENUE      ,00029240,00001672,00000300,00000613,00000257,00009117,00012214,00000078,00000199,00000692,00000618,00001080,00000773,00000401,00000000,00000482,00000000,00000000,00000000,00000618,00000000,00000129,00000000,00000366,00000233,00000276,                                                                                                    
R013,34TH STREET & 8TH AVENUE      ,00008111,00000536,00000078,00000207,00000038,00003516,00004772,00000064,00000089,00000141,00000219,00000440,00000223,00000119,00000000,00000148,00000000,00000000,00000000,00000179,00000000,00000050,00000000,00000140,00000120,00000147,                                                                                                    
R014,FULTON STREET                 ,00034093,00001579,00000277,00000542,00000046,00015847,00017413,00000157,00000239,00000342,00000161,00001795,00000590,00000529,00000000,00000486,00000000,00000000,00000000,00000895,00000000,00000360,00000000,00000645,00000530,00000434,                                                                                                    
R015,FIFTH AVENUE                  ,00009830,00000580,00000032,00000131,00000061,00002538,00004060,00000041,00000150,00000086,00000136,00000610,00000281,00000154,00000000,00000126,00000000,00000000,00000000,00000140,00000000,00000034,00000000,00000072,00000044,00000063,                                                                                                    
R016,LEXINGTON AVENUE              ,00003682,00000276,00000045,00000081,00000001,00002291,00002516,00000013,00000028,00000061,00000005,00000304,00000076,00000074,00000000,00000043,00000000,00000000,00000000,00000075,00000000,00000035,00000000,00000053,00000053,00000056,                                                                                                    
